Price,Processor,RAM_GB,RAM_Type,CPU_bit,OS,Screen_size_cm,Storage_Capacity_SSD_GB,Storage_Capacity_HDD_GB,Storage_Capacity_EMMC_GB,Brand,Graphics_capa_GB,Years_warranty,Ratings
109990.0,Intel Core i7,16,DDR4,64,Windows 11,39.62,512.0,0.0,0.0,MSI,6.0,2,4.6
71990.0,Intel Core i5,16,LPDDR4,64,Windows 11,33.78,512.0,0.0,0.0,ASUS,0.5,1,4.7
35590.0,AMD Ryzen 3 Dual Core,8,DDR4,64,Windows 11,39.62,512.0,0.0,0.0,Lenovo,0.5,2,4.2
150990.0,AMD Ryzen 9 Octa Core,16,DDR4,64,Windows 11,39.62,1024.0,0.0,0.0,ASUS,0.5,1,4.9
32990.0,Intel Core i3,8,LPDDR4X,64,Windows 11,35.56,512.0,0.0,0.0,Infinix,0.5,1,4.3
43990.0,AMD Ryzen 5 Hexa Core,8,DDR4,64,Windows 10,35.56,512.0,0.0,0.0,MSI,0.5,1,4.5
73490.0,AMD Ryzen 7 Octa Core,8,DDR4,64,Windows 11,39.62,512.0,0.0,0.0,Lenovo,0.5,1,4.5
194990.0,AMD Ryzen 9 Octa Core,16,DDR5,64,Windows 11,39.62,1024.0,0.0,0.0,ASUS,8.0,1,4.5
25990.0,AMD Ryzen 3 Dual Core,8,DDR4,64,Windows 11,35.56,256.0,0.0,0.0,acer,0.5,1,3.9
122990.0,Intel Core i9,16,DDR4,64,Windows 10,39.62,1024.0,0.0,0.0,ASUS,6.0,1,4.4
68990.0,Intel Core i5,16,DDR4,64,Windows 11,39.62,512.0,0.0,0.0,acer,4.0,1,4.3
59990.0,Intel Core i5,8,DDR4,64,Windows 11,39.62,512.0,0.0,0.0,acer,4.0,1,4.3
36990.0,Intel Core i3,8,DDR4,64,Windows 11,35.56,256.0,0.0,0.0,Lenovo,0.5,2,4.2
39990.0,Intel Core i3,8,DDR4,64,Windows 11,39.62,512.0,0.0,0.0,Lenovo,0.5,2,4.2
39990.0,AMD Ryzen 5 Quad Core,8,DDR4,64,Windows 10,39.62,512.0,0.0,0.0,acer,0.5,1,4.4
37990.0,Intel Core i3,8,DDR4,64,Windows 10,39.62,0.0,1024.0,0.0,ASUS,0.5,1,4.0
39990.0,Intel Core i5,8,DDR4,64,Windows 11,39.62,512.0,0.0,0.0,RedmiBook,0.5,1,4.1
196990.0,AMD Ryzen 9 Octa Core,16,DDR5,64,Windows 11,39.62,1024.0,0.0,0.0,ASUS,0.5,1,4.5
25950.0,Intel Celeron Dual Core,4,DDR4,64,Windows 10,35.56,256.0,0.0,0.0,Lenovo,0.5,1,4.0
64999.0,Intel Core i5,16,LPDDR4X,64,Windows 11,35.56,512.0,0.0,0.0,realme,0.5,1,4.2
60990.0,AMD Ryzen 5 Hexa Core,8,DDR4,64,Windows 11,39.62,512.0,0.0,0.0,HP,4.0,1,4.4
36990.0,Intel Core i3,8,DDR4,64,Windows 11,39.62,512.0,0.0,0.0,ASUS,0.5,1,4.5
38705.0,AMD Ryzen 5 Quad Core,8,DDR4,64,Windows 11,39.62,512.0,0.0,0.0,Lenovo,0.5,2,4.2
85990.0,AMD Ryzen 7 Octa Core,16,DDR4,64,Windows 11,39.62,1024.0,0.0,0.0,ASUS,4.0,1,4.6
59990.0,Intel Core i5,8,LPDDR4X,64,Windows 11,39.62,256.0,0.0,0.0,SAMSUNG,0.5,1,4.6
222990.0,Apple M1 Pro,16,Unified Memory,64,Mac OS,41.15,512.0,0.0,0.0,APPLE,0.5,1,4.8
35590.0,AMD Ryzen 3 Dual Core,8,DDR4,64,Windows 11,39.62,512.0,0.0,0.0,Lenovo,0.5,2,4.2
